Packet Number,Source MAC,Destination MAC,EtherType,IP Version,Source IP,Destination IP,Header Length (bytes),Total Length (bytes),TTL,Protocol,Checksum,Flags,Fragment Offset,Identification,Source Port,Destination Port,Sequence Number,Acknowledgment Number,TCP Flags,Window Size,Urgent Pointer
886,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,33028.0,DF,0.0,28572.0,54224.0,5000.0,1383778443.0,3740495048.0,A,331.0,0.0
887,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,31066.0,DF,0.0,28573.0,54224.0,5000.0,1383779891.0,3740495048.0,A,331.0,0.0
888,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,47339.0,DF,0.0,17040.0,5000.0,54224.0,3740495048.0,1383742243.0,A,330.0,0.0
889,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,29094.0,DF,0.0,28574.0,54224.0,5000.0,1383781339.0,3740495048.0,A,331.0,0.0
890,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,27132.0,DF,0.0,28575.0,54224.0,5000.0,1383782787.0,3740495048.0,A,331.0,0.0
891,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,42975.0,DF,0.0,17041.0,5000.0,54224.0,3740495048.0,1383746587.0,A,330.0,0.0
892,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,27711.0,DF,0.0,28576.0,54224.0,5000.0,1383784235.0,3740495048.0,A,331.0,0.0
893,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,25749.0,DF,0.0,28577.0,54224.0,5000.0,1383785683.0,3740495048.0,A,331.0,0.0
894,a0:36:9f:e0:51:e0,a0:36:9f:db:b7:64,0x800,IPv4,172.16.10.1,172.16.11.1,20.0,52.0,63.0,6.0,41504.0,DF,0.0,17042.0,5000.0,54224.0,3740495048.0,1383748035.0,A,330.0,0.0
895,a0:36:9f:db:b7:64,a0:36:9f:e0:51:e0,0x800,IPv4,172.16.11.1,172.16.10.1,20.0,1500.0,64.0,6.0,23778.0,DF,0.0,28578.0,54224.0,5000.0,1383787131.0,3740495048.0,A,331.0,0.0
