Packet Number,Source IP,Destination IP,IHL(byte),DSCP,ECN,Protocol
177,172.16.11.1,172.16.10.1,20,0,0,6
178,172.16.11.1,172.16.10.1,20,0,0,6
179,172.16.11.1,172.16.10.1,20,0,0,6
180,172.16.10.1,172.16.11.1,20,0,0,6
181,172.16.11.1,172.16.10.1,20,0,0,6
182,172.16.11.1,172.16.10.1,20,0,0,6
183,172.16.10.1,172.16.11.1,20,0,0,6
184,172.16.11.1,172.16.10.1,20,0,0,6
185,172.16.11.1,172.16.10.1,20,0,0,6
186,172.16.10.1,172.16.11.1,20,0,0,6
187,172.16.11.1,172.16.10.1,20,0,0,6
188,172.16.10.1,172.16.11.1,20,0,0,6
189,172.16.11.1,172.16.10.1,20,0,0,6
190,172.16.11.1,172.16.10.1,20,0,0,6
191,172.16.10.1,172.16.11.1,20,0,0,6
192,172.16.11.1,172.16.10.1,20,0,0,6
193,172.16.11.1,172.16.10.1,20,0,0,6
194,172.16.11.1,172.16.10.1,20,0,0,6
195,172.16.11.1,172.16.10.1,20,0,0,6
196,172.16.10.1,172.16.11.1,20,0,0,6
197,172.16.11.1,172.16.10.1,20,0,0,6
198,172.16.11.1,172.16.10.1,20,0,0,6
199,172.16.10.1,172.16.11.1,20,0,0,6
200,172.16.11.1,172.16.10.1,20,0,0,6
201,172.16.11.1,172.16.10.1,20,0,0,6
202,172.16.10.1,172.16.11.1,20,0,0,6
203,172.16.11.1,172.16.10.1,20,0,0,6
204,172.16.11.1,172.16.10.1,20,0,0,6
205,172.16.10.1,172.16.11.1,20,0,0,6
206,172.16.11.1,172.16.10.1,20,0,0,6
207,172.16.11.1,172.16.10.1,20,0,0,6
208,172.16.10.1,172.16.11.1,20,0,0,6
209,172.16.11.1,172.16.10.1,20,0,0,6
210,172.16.11.1,172.16.10.1,20,0,0,6
211,172.16.11.1,172.16.10.1,20,0,0,6
212,172.16.10.1,172.16.11.1,20,0,0,6
213,172.16.11.1,172.16.10.1,20,0,0,6
214,172.16.11.1,172.16.10.1,20,0,0,6
215,172.16.10.1,172.16.11.1,20,0,0,6
216,172.16.11.1,172.16.10.1,20,0,0,6
217,172.16.11.1,172.16.10.1,20,0,0,6
218,172.16.10.1,172.16.11.1,20,0,0,6
219,172.16.11.1,172.16.10.1,20,0,0,6
220,172.16.11.1,172.16.10.1,20,0,0,6
221,172.16.10.1,172.16.11.1,20,0,0,6
222,172.16.11.1,172.16.10.1,20,0,0,6
223,172.16.11.1,172.16.10.1,20,0,0,6
224,172.16.10.1,172.16.11.1,20,0,0,6
225,172.16.11.1,172.16.10.1,20,0,0,6
226,172.16.11.1,172.16.10.1,20,0,0,6
227,172.16.10.1,172.16.11.1,20,0,0,6
228,172.16.11.1,172.16.10.1,20,0,0,6
229,172.16.11.1,172.16.10.1,20,0,0,6
230,172.16.11.1,172.16.10.1,20,0,0,6
231,172.16.10.1,172.16.11.1,20,0,0,6
232,172.16.11.1,172.16.10.1,20,0,0,6
233,172.16.10.1,172.16.11.1,20,0,0,6
234,172.16.11.1,172.16.10.1,20,0,0,6
235,172.16.11.1,172.16.10.1,20,0,0,6
236,172.16.10.1,172.16.11.1,20,0,0,6
237,172.16.11.1,172.16.10.1,20,0,0,6
238,172.16.11.1,172.16.10.1,20,0,0,6
239,172.16.10.1,172.16.11.1,20,0,0,6
240,172.16.11.1,172.16.10.1,20,0,0,6
241,172.16.11.1,172.16.10.1,20,0,0,6
242,172.16.10.1,172.16.11.1,20,0,0,6
243,172.16.11.1,172.16.10.1,20,0,0,6
244,172.16.11.1,172.16.10.1,20,0,0,6
245,172.16.10.1,172.16.11.1,20,0,0,6
246,172.16.11.1,172.16.10.1,20,0,0,6
247,172.16.11.1,172.16.10.1,20,0,0,6
248,172.16.10.1,172.16.11.1,20,0,0,6
249,172.16.11.1,172.16.10.1,20,0,0,6
250,172.16.11.1,172.16.10.1,20,0,0,6
251,172.16.10.1,172.16.11.1,20,0,0,6
252,172.16.11.1,172.16.10.1,20,0,0,6
253,172.16.11.1,172.16.10.1,20,0,0,6
254,172.16.10.1,172.16.11.1,20,0,0,6
