tcp_80_connections,tcp_443_connections,udp_443_connections
"('149.198.202.137', 61896, '44.206.252.171', 80)","('149.198.203.99', 64992, '94.101.155.130', 443)",
"('192.114.236.80', 80, '212.167.102.69', 1295)","('145.120.98.122', 55887, '198.210.73.171', 443)",
"('192.114.235.26', 80, '218.131.93.184', 55097)","('145.120.98.122', 55889, '92.21.96.178', 443)",
"('164.143.209.21', 3247, '11.43.100.100', 80)","('186.145.176.228', 19112, '35.3.228.134', 443)",
"('145.120.5.108', 1937, '43.32.22.70', 80)","('164.93.153.74', 1790, '92.11.250.40', 443)",
"('164.93.112.147', 52644, '46.180.20.133', 80)","('215.198.65.166', 443, '193.188.201.171', 46800)",
"('46.156.71.255', 80, '193.188.202.28', 33315)","('44.206.252.199', 443, '161.32.245.140', 6922)",
"('47.34.144.246', 57070, '192.114.235.26', 80)","('149.198.202.136', 60990, '44.206.252.141', 443)",
"('164.93.0.135', 31354, '212.30.121.177', 80)","('161.32.133.174', 21154, '44.206.252.199', 443)",
"('160.26.216.171', 62730, '221.167.56.10', 80)","('149.198.202.137', 62314, '11.43.100.46', 443)",
"('46.224.98.177', 80, '161.32.65.172', 1665)","('149.198.202.137', 62348, '11.43.100.49', 443)",
"('149.198.202.137', 62542, '46.32.169.251', 80)","('88.165.92.235', 443, '164.88.48.129', 65019)",
"('44.46.75.178', 80, '164.88.48.132', 57876)","('145.120.33.1', 2991, '193.50.255.17', 443)",
"('145.120.250.162', 1033, '44.206.252.141', 80)","('44.206.252.141', 443, '145.120.250.30', 55008)",
"('164.93.152.32', 80, '46.224.120.182', 46706)","('149.198.202.136', 60912, '213.23.207.114', 443)",
"('161.32.38.100', 40889, '92.11.240.130', 80)","('160.72.169.246', 443, '220.85.2.90', 2138)",
"('46.224.98.177', 80, '164.66.226.194', 1224)","('46.224.98.187', 443, '145.120.72.145', 1552)",
"('149.198.202.137', 62412, '200.71.21.166', 80)","('193.50.255.17', 443, '145.120.33.1', 2987)",
"('161.32.196.204', 22525, '44.35.107.236', 80)","('145.120.98.122', 55870, '45.171.169.60', 443)",
"('161.32.88.218', 46188, '198.210.80.18', 80)","('88.165.92.235', 443, '164.88.48.133', 63938)",
"('92.198.149.97', 42121, '164.66.90.37', 80)","('40.96.77.59', 443, '193.176.28.1', 20788)",
"('221.224.105.200', 80, '161.32.133.174', 21170)","('145.120.98.122', 55893, '45.171.169.60', 443)",
"('145.120.132.64', 4760, '46.224.98.177', 80)","('164.93.211.139', 1610, '213.172.105.92', 443)",
"('186.145.215.37', 50238, '35.3.240.34', 80)","('57.188.210.223', 443, '145.120.242.173', 3837)",
"('149.198.149.188', 80, '152.46.249.71', 34163)","('164.93.153.74', 1788, '92.11.250.40', 443)",
"('2002:90f3:4c0e::8995:b250', 1085, '2001:34ca:bb:9e:8c13:28ff:c953:b2c5', 80)","('145.120.98.122', 55890, '92.21.96.178', 443)",
"('164.143.213.140', 33865, '46.75.108.178', 80)","('149.198.227.79', 4392, '42.65.128.51', 443)",
"('182.56.80.154', 29898, '221.167.56.41', 80)","('88.165.92.235', 443, '164.88.48.129', 65012)",
"('145.120.105.53', 1733, '198.102.76.236', 80)","('222.128.131.192', 443, '164.66.66.17', 50270)",
"('186.145.130.83', 48311, '212.82.90.96', 80)","('145.120.33.1', 2989, '193.50.255.17', 443)",
"('192.114.235.26', 80, '195.64.53.76', 19543)","('198.210.73.213', 443, '192.114.237.234', 63974)",
"('92.11.250.40', 80, '161.32.0.154', 1537)","('44.206.249.194', 443, '193.176.28.130', 21564)",
"('145.120.106.39', 49382, '193.44.201.172', 80)","('46.36.64.152', 443, '164.66.198.238', 32767)",
"('192.114.236.80', 80, '117.112.239.75', 20619)","('161.32.177.193', 1313, '44.128.135.58', 443)",
"('35.21.253.76', 80, '193.176.199.98', 47505)","('45.171.169.0', 443, '164.66.66.17', 50263)",
