tcp_80_connections,tcp_443_connections,udp_443_connections
"('161.32.2.115', 35477, '199.98.138.2', 80)",,
"('164.93.10.185', 35998, '193.44.201.172', 80)",,
"('161.32.173.69', 34661, '46.210.204.80', 80)",,
"('45.171.169.60', 80, '161.32.248.150', 1153)",,
"('160.72.170.98', 80, '92.16.190.133', 61097)",,
"('92.198.144.54', 80, '164.66.226.190', 54295)",,
"('145.120.188.50', 46590, '35.27.175.3', 80)",,
"('164.66.46.8', 80, '41.17.18.75', 4782)",,
"('161.32.2.115', 35466, '44.35.85.38', 80)",,
"('223.105.162.120', 80, '164.143.51.169', 47548)",,
"('193.176.24.122', 47433, '11.43.102.51', 80)",,
"('182.56.80.63', 80, '93.109.112.139', 30158)",,
"('164.93.45.162', 2467, '46.181.90.99', 80)",,
"('149.198.202.137', 62304, '42.65.169.120', 80)",,
"('44.35.85.38', 80, '161.32.2.115', 35466)",,
"('182.56.80.154', 29882, '221.167.56.41', 80)",,
"('161.33.77.98', 34923, '200.134.43.226', 80)",,
"('193.176.204.59', 1958, '46.181.90.95', 80)",,
"('161.32.66.3', 49852, '213.80.58.233', 80)",,
"('193.44.192.11', 80, '161.32.74.0', 49869)",,
"('149.198.202.137', 62213, '46.224.98.177', 80)",,
"('182.56.80.63', 80, '220.107.19.225', 1491)",,
"('45.170.55.17', 45292, '192.114.238.152', 80)",,
"('161.32.13.73', 1287, '214.21.54.159', 80)",,
"('94.216.95.107', 80, '193.188.203.82', 1857)",,
"('145.120.192.99', 1623, '44.206.252.198', 80)",,
"('161.32.81.203', 61349, '198.210.73.170', 80)",,
"('198.102.76.237', 80, '164.143.180.77', 1356)",,
"('161.32.12.41', 3311, '92.71.100.13', 80)",,
"('44.206.252.141', 80, '145.120.192.99', 1577)",,
"('152.10.130.179', 80, '193.176.203.32', 1472)",,
"('161.32.131.25', 48782, '198.210.199.27', 80)",,
"('186.145.177.144', 3453, '212.18.193.166', 80)",,
"('164.66.46.8', 80, '217.41.197.14', 24492)",,
"('186.145.25.70', 1346, '11.43.102.40', 80)",,
"('161.32.173.69', 34565, '46.210.204.80', 80)",,
"('46.255.15.101', 80, '161.32.193.100', 3733)",,
"('161.32.38.70', 80, '212.36.40.221', 3342)",,
"('192.114.236.80', 80, '52.30.239.25', 64636)",,
"('46.224.98.187', 80, '161.32.242.12', 27361)",,
"('43.36.26.148', 80, '193.188.202.19', 1937)",,
"('195.64.53.76', 19641, '192.114.235.26', 80)",,
"('218.34.48.0', 80, '161.32.8.4', 3858)",,
"('149.198.202.137', 62527, '199.5.115.131', 80)",,
"('161.32.133.174', 21167, '221.224.105.200', 80)",,
"('161.32.242.12', 27361, '46.224.98.187', 80)",,
"('193.188.203.82', 1969, '192.194.21.219', 80)",,
"('182.56.80.63', 80, '192.148.46.251', 52987)",,
"('186.145.7.64', 62902, '11.43.102.29', 80)",,
"('192.114.236.80', 80, '214.233.8.87', 4138)",,
"('213.123.168.255', 80, '164.88.48.132', 56479)",,
"('164.93.71.3', 1450, '193.44.201.172', 80)",,
"('164.93.70.235', 47314, '212.30.112.42', 80)",,
"('149.198.225.9', 80, '48.136.91.200', 64297)",,
"('145.120.132.151', 43286, '92.141.122.120', 80)",,
"('215.154.127.189', 80, '193.188.201.182', 59638)",,
"('193.176.214.220', 2988, '192.77.128.162', 80)",,
"('45.171.217.78', 80, '145.120.106.39', 49379)",,
"('145.120.45.194', 2033, '46.224.98.177', 80)",,
"('161.32.202.70', 4882, '212.102.202.149', 80)",,
"('149.198.202.137', 62513, '44.206.224.67', 80)",,
"('145.120.125.133', 1718, '42.65.172.118', 80)",,
"('164.143.180.77', 1356, '198.102.76.237', 80)",,
"('145.120.116.167', 3980, '45.171.216.174', 80)",,
"('172.20.32.161', 2320, '47.161.114.196', 80)",,
"('45.171.216.174', 80, '164.143.178.166', 2268)",,
"('192.114.235.26', 80, '203.5.4.248', 53155)",,
"('161.32.21.188', 80, '46.224.123.18', 41447)",,
"('149.198.203.114', 52900, '42.65.169.120', 80)",,
"('216.4.145.253', 21338, '192.114.236.80', 80)",,
"('164.66.235.92', 50237, '214.236.139.240', 80)",,
"('161.32.240.198', 14864, '92.11.198.52', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54285)",,
"('149.198.202.136', 58295, '46.36.76.163', 80)",,
"('182.56.80.63', 80, '192.144.135.64', 40172)",,
"('160.26.149.249', 21662, '107.10.152.224', 80)",,
"('149.198.149.188', 80, '212.177.198.33', 18928)",,
"('193.217.118.236', 45640, '164.66.234.130', 80)",,
"('149.198.202.136', 60910, '44.244.9.158', 80)",,
"('193.188.201.199', 2360, '223.151.202.73', 80)",,
"('164.93.0.135', 31351, '212.30.121.177', 80)",,
"('192.114.236.80', 80, '42.192.1.110', 42162)",,
"('92.11.240.168', 80, '161.32.168.19', 1842)",,
"('220.75.138.83', 55331, '192.114.236.44', 80)",,
"('149.198.202.137', 61586, '46.224.98.187', 80)",,
"('161.32.76.46', 1847, '46.224.98.177', 80)",,
"('149.198.202.136', 58419, '44.206.252.198', 80)",,
"('213.23.207.114', 80, '193.188.201.171', 46791)",,
"('164.143.185.30', 2110, '46.224.98.177', 80)",,
"('92.11.240.130', 80, '161.32.7.70', 47114)",,
"('164.93.70.235', 47344, '212.30.112.42', 80)",,
"('161.32.228.112', 1836, '212.199.143.115', 80)",,
"('161.32.173.69', 33388, '46.76.242.38', 80)",,
"('164.66.100.10', 4327, '95.1.82.178', 80)",,
"('182.56.18.175', 1591, '193.86.13.106', 80)",,
"('2002:305a:446f::370f:1b30', 1203, '2001:34ca:bb:9e:8c13:28ff:c953:b2c5', 80)",,
"('164.93.197.22', 1555, '193.50.249.5', 80)",,
"('164.93.123.17', 2322, '213.24.134.157', 80)",,
"('192.114.236.80', 80, '50.165.33.99', 1071)",,
"('193.188.201.199', 2260, '213.23.207.114', 80)",,
"('161.32.5.97', 80, '46.224.120.192', 48929)",,
"('161.32.81.20', 30096, '168.82.243.232', 80)",,
"('186.145.101.3', 3361, '212.82.116.192', 80)",,
"('44.206.250.35', 80, '161.32.177.164', 24837)",,
"('149.198.202.136', 60661, '44.206.252.199', 80)",,
"('164.93.0.135', 31334, '212.30.121.177', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54298)",,
"('161.32.168.19', 1846, '92.11.240.168', 80)",,
"('149.198.202.136', 60927, '209.58.156.200', 80)",,
"('44.206.249.194', 80, '164.66.48.251', 3078)",,
"('149.198.202.137', 62430, '222.9.85.15', 80)",,
"('164.93.91.5', 1952, '92.11.198.52', 80)",,
"('44.206.249.138', 80, '192.114.227.142', 54771)",,
"('149.198.202.136', 60825, '204.49.122.27', 80)",,
"('46.16.203.77', 3281, '192.114.251.85', 80)",,
"('44.206.252.199', 80, '145.120.34.64', 2202)",,
"('212.102.209.113', 80, '164.66.234.103', 44729)",,
"('212.82.73.0', 80, '145.120.132.151', 34069)",,
"('164.143.51.174', 42633, '92.11.198.52', 80)",,
"('192.114.237.128', 80, '45.170.55.17', 45320)",,
"('161.32.6.194', 2844, '54.166.133.12', 80)",,
"('193.176.24.122', 47435, '11.43.102.51', 80)",,
"('149.198.202.136', 60973, '199.27.125.82', 80)",,
"('44.206.252.198', 80, '145.120.82.235', 3791)",,
"('149.198.202.137', 62306, '42.65.169.120', 80)",,
"('164.93.70.235', 47368, '212.30.112.42', 80)",,
"('164.93.82.130', 60986, '89.118.10.0', 80)",,
"('149.198.202.137', 54858, '222.5.34.106', 80)",,
"('198.210.183.3', 80, '145.120.11.223', 4021)",,
"('149.198.202.137', 62431, '200.86.147.191', 80)",,
"('164.143.133.82', 80, '198.210.162.64', 21164)",,
"('164.66.92.141', 56315, '222.20.75.186', 80)",,
"('92.198.144.54', 80, '164.66.226.190', 54275)",,
"('161.32.2.115', 34469, '222.76.130.48', 80)",,
"('164.66.226.190', 54297, '92.198.144.54', 80)",,
"('161.32.24.44', 40466, '212.48.1.166', 80)",,
"('163.56.53.247', 80, '145.120.106.39', 49389)",,
"('35.21.253.67', 80, '164.216.115.9', 26409)",,
"('164.93.0.135', 31358, '212.30.121.177', 80)",,
"('42.65.177.141', 23576, '161.32.230.193', 80)",,
"('149.198.202.137', 62334, '222.9.85.15', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 34141)",,
"('46.224.120.192', 49162, '161.32.5.97', 80)",,
"('164.93.57.176', 62746, '193.44.201.172', 80)",,
"('212.138.117.186', 58064, '192.114.235.26', 80)",,
"('149.198.202.137', 62350, '200.86.147.191', 80)",,
"('172.20.32.145', 3714, '47.161.114.196', 80)",,
"('149.198.202.137', 62461, '222.9.85.15', 80)",,
"('161.32.133.174', 21169, '221.224.105.200', 80)",,
"('208.214.206.2', 9240, '161.32.17.240', 80)",,
"('212.82.73.5', 80, '145.120.132.151', 46823)",,
"('164.66.234.130', 80, '44.78.174.13', 11385)",,
"('214.236.139.245', 80, '164.66.235.92', 50240)",,
"('69.70.154.228', 80, '145.120.105.53', 1749)",,
"('145.120.37.203', 4853, '11.43.100.20', 80)",,
"('161.32.196.178', 34460, '45.171.195.131', 80)",,
"('46.224.98.177', 80, '161.32.76.46', 3702)",,
"('164.66.234.91', 61300, '46.224.98.177', 80)",,
"('164.93.0.135', 31341, '212.30.121.177', 80)",,
"('92.11.214.99', 80, '161.32.16.109', 1392)",,
"('161.32.69.217', 1773, '44.47.194.182', 80)",,
"('69.64.1.95', 80, '145.120.2.95', 2374)",,
"('164.93.70.235', 47336, '212.30.112.42', 80)",,
"('164.93.200.133', 2342, '11.43.102.175', 80)",,
"('164.143.180.77', 1358, '198.102.76.237', 80)",,
"('161.32.65.172', 1658, '214.206.51.140', 80)",,
"('92.11.240.132', 80, '193.188.203.82', 1951)",,
"('46.224.98.177', 80, '193.188.201.182', 41944)",,
"('192.114.235.26', 80, '92.178.63.196', 2007)",,
"('149.198.202.137', 62364, '222.5.34.98', 80)",,
"('164.66.234.200', 80, '46.224.123.88', 46551)",,
"('149.198.202.137', 62107, '198.160.87.42', 80)",,
"('145.120.105.53', 1749, '69.70.154.228', 80)",,
"('220.75.138.83', 55333, '192.114.236.19', 80)",,
"('161.32.248.111', 1825, '52.144.27.35', 80)",,
"('149.198.238.150', 80, '194.36.19.223', 58746)",,
"('214.206.51.56', 80, '193.176.213.120', 51324)",,
"('223.151.202.73', 80, '193.188.201.199', 2360)",,
"('46.224.120.169', 62094, '164.66.65.139', 80)",,
"('164.143.213.44', 1801, '11.43.100.100', 80)",,
"('192.114.235.26', 80, '47.34.144.246', 57070)",,
"('164.93.222.192', 1138, '11.43.102.85', 80)",,
"('46.233.17.228', 80, '193.188.203.82', 1958)",,
"('11.43.102.123', 80, '164.88.48.129', 64771)",,
"('198.210.73.173', 80, '161.32.12.92', 1556)",,
"('145.120.108.109', 3260, '69.95.12.235', 80)",,
"('161.32.133.174', 21193, '221.224.105.200', 80)",,
"('164.93.0.135', 31303, '92.11.198.52', 80)",,
"('164.191.23.53', 54422, '46.224.98.205', 80)",,
"('193.176.204.59', 1952, '11.43.100.12', 80)",,
"('213.23.207.114', 80, '193.188.201.199', 2193)",,
"('161.32.180.33', 1134, '222.76.136.167', 80)",,
"('213.167.25.19', 38947, '192.114.238.182', 80)",,
"('149.198.202.137', 58737, '222.16.225.37', 80)",,
"('192.114.236.80', 80, '194.144.171.171', 1605)",,
"('161.32.5.77', 1273, '212.199.142.103', 80)",,
"('149.198.202.136', 60925, '222.9.85.15', 80)",,
"('218.34.48.0', 80, '161.32.8.4', 3815)",,
"('11.205.233.98', 1113, '192.114.236.80', 80)",,
"('149.198.202.137', 62378, '218.13.60.173', 80)",,
"('149.198.202.137', 62357, '56.136.248.216', 80)",,
"('192.185.65.172', 1058, '164.66.46.8', 80)",,
"('145.120.188.72', 80, '212.163.241.37', 4312)",,
"('164.93.87.122', 15863, '212.82.107.140', 80)",,
"('149.198.202.136', 60861, '45.6.247.40', 80)",,
"('161.32.86.156', 33997, '221.224.105.200', 80)",,
"('145.120.4.51', 3576, '11.43.100.13', 80)",,
"('161.32.131.65', 1055, '92.11.240.130', 80)",,
"('164.66.226.190', 54289, '92.198.144.54', 80)",,
"('149.198.225.45', 80, '46.224.120.211', 51036)",,
"('149.198.149.188', 80, '152.46.249.71', 33228)",,
"('192.114.236.80', 80, '202.220.47.167', 49204)",,
"('192.194.21.219', 80, '193.188.203.82', 1981)",,
"('149.198.215.121', 80, '200.81.92.42', 31175)",,
"('164.66.234.130', 80, '44.78.174.13', 11748)",,
"('186.145.135.176', 57774, '11.43.102.25', 80)",,
"('161.32.74.147', 2164, '152.10.152.158', 80)",,
"('149.198.202.136', 60947, '192.182.105.21', 80)",,
"('92.11.198.52', 80, '164.143.51.174', 42644)",,
"('161.33.6.87', 61165, '46.187.241.101', 80)",,
"('35.21.253.66', 80, '164.66.105.58', 10481)",,
"('172.20.32.175', 3528, '214.4.140.0', 80)",,
"('193.188.202.26', 4020, '50.218.125.142', 80)",,
"('161.32.2.115', 35452, '162.100.225.123', 80)",,
"('69.95.12.235', 80, '145.120.108.109', 3257)",,
"('208.70.31.50', 80, '164.66.48.225', 55047)",,
"('214.28.137.81', 2242, '164.66.46.8', 80)",,
"('161.32.74.61', 54223, '222.76.130.164', 80)",,
"('35.21.253.77', 80, '164.66.245.84', 5401)",,
"('35.21.253.77', 80, '164.66.67.33', 49097)",,
"('149.198.202.136', 60945, '213.23.207.114', 80)",,
"('164.66.226.190', 54302, '212.199.140.171', 80)",,
"('164.66.46.8', 80, '200.32.152.29', 60375)",,
"('208.70.31.234', 80, '161.32.76.46', 1231)",,
"('161.32.248.150', 1158, '89.173.117.88', 80)",,
"('164.93.0.135', 31333, '212.30.121.177', 80)",,
"('182.56.80.154', 14373, '11.43.102.110', 80)",,
"('88.165.71.200', 80, '164.88.48.135', 53483)",,
"('164.93.181.77', 50395, '35.3.240.12', 80)",,
"('48.71.181.237', 61926, '161.32.1.120', 80)",,
"('214.206.48.47', 80, '161.32.65.172', 1671)",,
"('164.66.48.251', 3099, '35.3.204.42', 80)",,
"('192.85.32.223', 47977, '213.23.207.114', 80)",,
"('145.120.98.19', 3988, '212.102.220.191', 80)",,
"('161.32.193.100', 3733, '46.255.15.101', 80)",,
"('149.198.203.99', 65076, '222.9.85.15', 80)",,
"('214.206.51.56', 80, '193.176.213.120', 51314)",,
"('149.198.165.4', 80, '215.26.58.91', 48029)",,
"('160.72.2.82', 1465, '213.170.166.235', 80)",,
"('43.32.22.70', 80, '145.120.5.108', 1937)",,
"('160.26.149.249', 21671, '107.10.152.224', 80)",,
"('149.198.202.137', 59199, '44.206.252.141', 80)",,
"('164.66.226.190', 54299, '92.198.144.54', 80)",,
"('149.198.202.136', 60976, '222.9.85.15', 80)",,
"('149.198.225.14', 80, '198.210.162.27', 42439)",,
"('164.66.226.190', 54296, '92.198.144.54', 80)",,
"('145.120.109.103', 1541, '214.206.48.97', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33097)",,
"('161.33.153.229', 1118, '215.166.140.232', 80)",,
"('164.143.51.169', 47548, '223.105.162.120', 80)",,
"('198.210.73.170', 80, '161.32.81.203', 61345)",,
"('35.21.253.77', 80, '164.188.106.155', 45924)",,
"('164.93.58.28', 2485, '47.241.12.212', 80)",,
"('192.114.235.26', 80, '203.5.4.248', 3253)",,
"('92.198.149.97', 42127, '164.66.90.37', 80)",,
"('193.176.213.120', 51314, '214.206.51.56', 80)",,
"('193.188.201.199', 2221, '42.65.141.114', 80)",,
"('164.66.65.12', 1948, '45.177.1.144', 80)",,
"('149.198.202.136', 55710, '46.224.98.177', 80)",,
"('104.165.119.1', 80, '164.143.194.41', 37830)",,
"('182.56.80.63', 80, '93.104.202.38', 3675)",,
"('198.210.111.60', 80, '161.32.248.150', 1151)",,
"('92.198.144.54', 80, '164.66.226.190', 54255)",,
"('161.32.38.70', 80, '212.36.40.221', 3374)",,
"('192.194.21.219', 80, '193.188.203.82', 1971)",,
"('149.198.202.136', 60775, '222.9.85.46', 80)",,
"('149.198.202.136', 60982, '56.80.2.100', 80)",,
"('161.33.153.229', 1114, '215.166.142.45', 80)",,
"('11.43.100.12', 80, '145.120.72.149', 1635)",,
"('164.66.234.130', 80, '35.27.208.91', 55463)",,
"('164.66.235.92', 50240, '214.236.139.245', 80)",,
"('164.66.226.190', 54279, '92.198.144.54', 80)",,
"('161.32.40.248', 50208, '94.132.53.191', 80)",,
"('161.32.198.32', 3449, '46.224.98.177', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33712)",,
"('164.93.70.235', 47318, '212.30.112.42', 80)",,
"('164.143.130.55', 80, '212.85.195.186', 54216)",,
"('161.32.166.180', 53560, '193.8.117.53', 80)",,
"('164.66.48.225', 55048, '208.70.31.50', 80)",,
"('164.143.51.174', 42644, '92.11.198.52', 80)",,
"('212.48.1.167', 80, '161.32.24.44', 40472)",,
"('88.165.71.199', 80, '164.88.48.132', 57865)",,
"('149.198.202.137', 62494, '203.177.197.41', 80)",,
"('160.72.169.236', 24997, '193.44.192.11', 80)",,
"('46.224.98.187', 80, '193.176.28.18', 54348)",,
"('193.188.201.182', 45883, '222.252.75.167', 80)",,
"('49.54.229.44', 10302, '164.66.46.8', 80)",,
"('213.96.240.242', 80, '161.32.8.4', 3976)",,
"('164.143.213.195', 4876, '44.206.252.199', 80)",,
"('44.206.252.199', 80, '145.120.250.196', 56623)",,
"('186.145.129.153', 1661, '52.144.24.11', 80)",,
"('186.145.135.35', 2343, '52.144.27.92', 80)",,
"('193.188.203.82', 1913, '215.154.127.135', 80)",,
"('192.114.237.209', 80, '220.75.138.83', 55303)",,
"('192.114.235.26', 80, '212.138.117.186', 58065)",,
"('145.120.116.167', 3981, '45.171.216.174', 80)",,
"('46.128.236.251', 80, '193.188.201.171', 46691)",,
"('164.93.242.21', 49261, '193.44.201.172', 80)",,
"('193.176.197.44', 80, '200.81.92.42', 46448)",,
"('145.120.188.67', 80, '220.75.138.77', 46519)",,
"('164.66.234.130', 80, '47.42.3.113', 3114)",,
"('145.120.163.10', 2484, '222.72.108.87', 80)",,
"('149.198.202.137', 62549, '46.130.73.99', 80)",,
"('149.198.202.137', 62498, '209.116.223.136', 80)",,
"('161.32.86.156', 33999, '221.224.105.200', 80)",,
"('149.198.202.136', 60900, '213.23.207.114', 80)",,
"('193.188.203.82', 1270, '94.64.211.249', 80)",,
"('35.27.66.136', 44831, '164.66.234.130', 80)",,
"('192.114.236.80', 80, '11.205.233.98', 1113)",,
"('149.198.202.136', 51206, '53.186.13.68', 80)",,
"('164.143.176.11', 1485, '44.35.98.108', 80)",,
"('145.120.5.81', 3071, '192.144.223.213', 80)",,
"('164.66.168.5', 80, '35.27.67.59', 44738)",,
"('212.48.1.166', 80, '161.32.24.44', 40459)",,
"('161.32.86.156', 33991, '200.105.170.2', 80)",,
"('186.145.145.7', 3163, '193.44.201.172', 80)",,
"('35.21.253.66', 80, '161.32.82.19', 19856)",,
"('192.114.237.128', 80, '45.170.55.17', 45375)",,
"('186.145.215.37', 50236, '35.3.240.34', 80)",,
"('193.188.201.199', 2257, '192.182.105.95', 80)",,
"('149.198.202.137', 62215, '48.202.56.123', 80)",,
"('193.176.213.120', 51259, '214.206.51.74', 80)",,
"('164.66.226.190', 54254, '92.198.144.54', 80)",,
"('192.182.105.95', 80, '193.188.201.199', 2257)",,
"('164.93.10.185', 35644, '92.21.96.161', 80)",,
"('161.32.38.70', 80, '212.36.40.221', 3364)",,
"('149.198.205.26', 80, '88.46.104.249', 22491)",,
"('145.120.106.39', 49378, '45.171.217.78', 80)",,
"('192.114.236.80', 80, '214.206.94.43', 3115)",,
"('88.164.75.117', 1286, '192.114.235.26', 80)",,
"('164.66.46.8', 80, '35.166.81.67', 2234)",,
"('145.120.188.67', 80, '218.214.32.167', 34656)",,
"('149.198.202.137', 62451, '46.181.145.226', 80)",,
"('209.135.26.119', 80, '164.66.226.190', 54267)",,
"('222.210.216.142', 80, '161.32.225.109', 2291)",,
"('46.224.98.187', 80, '161.32.4.192', 2986)",,
"('164.93.58.28', 2484, '47.241.12.212', 80)",,
"('214.206.51.78', 80, '161.32.65.172', 1661)",,
"('193.44.192.11', 80, '161.32.74.0', 49868)",,
"('164.143.212.54', 37418, '200.147.61.134', 80)",,
"('186.145.192.196', 3104, '35.3.228.160', 80)",,
"('217.106.132.228', 34654, '192.114.232.238', 80)",,
"('164.66.46.80', 3602, '193.44.192.40', 80)",,
"('46.224.98.177', 80, '161.32.5.77', 1199)",,
"('193.188.203.82', 4859, '209.7.26.71', 80)",,
"('160.26.149.249', 21673, '107.10.152.224', 80)",,
"('161.32.73.7', 37688, '95.46.233.20', 80)",,
"('164.93.168.156', 52426, '52.144.27.81', 80)",,
"('46.255.15.101', 80, '161.32.193.100', 3732)",,
"('164.66.48.251', 3091, '46.224.98.177', 80)",,
"('182.56.98.231', 1344, '214.206.51.75', 80)",,
"('145.120.110.232', 2198, '46.224.98.177', 80)",,
"('149.198.156.32', 80, '45.170.54.37', 48224)",,
"('182.56.80.154', 29896, '221.167.56.97', 80)",,
"('186.145.138.214', 2827, '11.43.102.22', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33414)",,
"('193.188.201.171', 46795, '213.23.207.114', 80)",,
"('218.34.48.0', 80, '161.32.8.4', 3857)",,
"('46.224.123.88', 46762, '164.66.234.200', 80)",,
"('149.198.203.99', 65088, '192.194.21.219', 80)",,
"('11.43.102.114', 80, '164.88.48.132', 57899)",,
"('198.210.199.27', 80, '161.32.24.44', 40234)",,
"('149.198.202.137', 62455, '215.198.65.166', 80)",,
"('2002:90f3:2860::53df:6d54', 1085, '2001:34ca:bb:9e:8c13:28ff:c953:b2c5', 80)",,
"('45.171.217.78', 80, '145.120.106.39', 49378)",,
"('160.26.149.249', 21656, '107.10.152.224', 80)",,
"('164.93.10.185', 36130, '46.181.90.94', 80)",,
"('46.224.123.18', 41447, '161.32.21.188', 80)",,
"('192.114.235.26', 80, '203.5.4.248', 42861)",,
"('92.11.198.52', 80, '161.32.196.51', 2198)",,
"('161.32.65.172', 1654, '214.206.51.137', 80)",,
"('164.93.48.20', 64826, '213.170.166.235', 80)",,
"('161.32.24.44', 40472, '212.48.1.167', 80)",,
"('149.198.202.136', 60798, '222.9.81.76', 80)",,
"('164.93.10.185', 36033, '92.11.198.52', 80)",,
"('160.72.170.98', 80, '92.16.190.133', 26032)",,
"('222.72.108.87', 80, '145.120.163.10', 2484)",,
"('164.66.153.222', 45296, '163.192.169.254', 80)",,
"('11.43.102.85', 80, '164.88.48.132', 57821)",,
"('149.198.202.136', 60983, '53.48.26.150', 80)",,
"('44.206.252.198', 80, '161.32.242.12', 27600)",,
"('149.198.149.188', 80, '152.46.249.71', 31850)",,
"('193.176.204.59', 1960, '92.11.250.40', 80)",,
"('182.56.80.154', 29813, '221.167.56.41', 80)",,
"('35.21.253.67', 80, '164.188.0.179', 32426)",,
"('145.120.188.67', 80, '44.86.114.174', 1726)",,
"('192.114.235.26', 80, '212.138.117.186', 58068)",,
"('35.165.70.240', 80, '145.120.5.48', 2266)",,
"('186.145.145.7', 3198, '92.11.201.104', 80)",,
"('11.43.100.20', 80, '145.120.2.112', 37745)",,
"('145.120.188.72', 80, '212.163.241.49', 4273)",,
"('198.210.183.97', 80, '193.176.220.79', 1060)",,
"('161.32.225.109', 2292, '212.100.188.42', 80)",,
"('149.198.202.137', 61960, '146.146.63.124', 80)",,
"('46.224.98.177', 80, '164.66.48.251', 3091)",,
"('164.143.209.21', 3251, '11.43.100.100', 80)",,
"('161.32.248.150', 1165, '198.210.73.174', 80)",,
"('164.66.46.8', 80, '42.221.177.200', 1943)",,
"('193.44.192.11', 80, '161.32.74.0', 49858)",,
"('149.198.149.188', 80, '152.46.249.71', 33957)",,
"('145.120.98.122', 55869, '45.171.169.60', 80)",,
"('198.210.113.193', 80, '161.32.88.218', 46192)",,
"('43.34.12.62', 80, '164.66.219.59', 2712)",,
"('149.198.202.137', 62530, '222.9.85.15', 80)",,
"('160.26.149.249', 21665, '107.10.152.224', 80)",,
"('161.32.131.18', 51838, '46.224.98.205', 80)",,
"('161.32.81.203', 61348, '104.23.79.111', 80)",,
"('186.145.217.103', 61832, '193.44.193.116', 80)",,
"('145.120.5.48', 2294, '46.224.98.187', 80)",,
"('164.66.88.137', 80, '32.163.67.27', 3463)",,
"('45.171.169.60', 80, '161.32.248.150', 1155)",,
"('92.198.144.54', 80, '164.66.226.190', 54297)",,
"('161.32.8.4', 3976, '213.96.240.242', 80)",,
"('186.145.217.103', 61830, '193.44.193.116', 80)",,
"('161.32.242.15', 61250, '44.206.250.129', 80)",,
"('149.198.203.99', 65145, '46.210.196.201', 80)",,
"('206.217.79.156', 10972, '164.66.46.8', 80)",,
"('164.66.46.8', 80, '88.27.103.210', 1365)",,
"('46.224.98.177', 80, '161.32.168.75', 3696)",,
"('149.198.202.137', 60983, '44.206.249.1', 80)",,
"('161.32.2.115', 34598, '222.76.130.164', 80)",,
"('198.210.162.77', 55018, '164.66.90.37', 80)",,
"('46.224.98.205', 80, '161.32.131.18', 51838)",,
"('203.5.4.248', 3253, '192.114.235.26', 80)",,
"('164.93.70.235', 47292, '212.30.112.42', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 34199)",,
"('164.66.234.130', 80, '44.78.174.13', 10504)",,
"('94.216.95.107', 80, '193.188.203.82', 1859)",,
"('214.206.51.76', 80, '161.32.65.172', 1663)",,
"('208.96.187.162', 80, '164.143.51.174', 42645)",,
"('198.102.76.237', 80, '164.143.180.77', 1358)",,
"('152.10.130.179', 80, '193.176.203.32', 1474)",,
"('44.206.252.141', 80, '145.120.250.162', 1033)",,
"('186.145.25.137', 4185, '212.102.214.2', 80)",,
"('161.32.88.240', 1072, '198.102.76.237', 80)",,
"('192.114.236.80', 80, '56.162.128.80', 1110)",,
"('193.188.201.199', 2194, '192.182.105.20', 80)",,
"('161.32.38.70', 80, '212.36.40.221', 3344)",,
"('164.93.10.185', 36163, '11.43.102.25', 80)",,
"('164.93.0.135', 31307, '11.43.102.175', 80)",,
"('161.32.193.100', 3735, '46.255.54.154', 80)",,
"('149.198.202.137', 62221, '199.27.125.18', 80)",,
"('186.145.7.21', 51383, '11.43.102.40', 80)",,
"('92.11.240.132', 80, '193.188.203.82', 1973)",,
"('193.188.201.171', 46797, '46.210.204.82', 80)",,
"('160.72.170.98', 80, '92.16.190.133', 64724)",,
"('149.198.202.136', 60970, '222.9.85.50', 80)",,
"('164.93.0.135', 31365, '212.30.121.177', 80)",,
"('160.26.149.26', 8420, '95.16.91.21', 80)",,
"('221.224.105.200', 80, '161.32.133.174', 21183)",,
"('145.120.105.53', 1746, '152.199.181.98', 80)",,
"('164.66.226.190', 54280, '92.198.144.54', 80)",,
"('149.198.202.136', 52502, '222.76.136.157', 80)",,
"('161.32.193.100', 3734, '46.255.15.101', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 34176)",,
"('149.198.202.137', 62395, '104.20.177.69', 80)",,
"('164.93.74.126', 3492, '212.82.116.193', 80)",,
"('35.27.67.59', 44738, '164.66.168.5', 80)",,
"('35.27.66.3', 36474, '161.32.1.120', 80)",,
"('160.26.149.249', 21672, '107.10.152.224', 80)",,
"('149.198.149.188', 80, '152.46.249.71', 33538)",,
"('149.198.202.136', 60815, '192.182.105.94', 80)",,
"('186.145.96.2', 3698, '35.3.204.143', 80)",,
"('161.32.65.172', 1659, '214.206.51.136', 80)",,
"('193.176.204.59', 1942, '212.96.226.244', 80)",,
"('69.64.1.95', 80, '145.120.2.95', 2373)",,
"('161.32.12.92', 1527, '198.152.35.201', 80)",,
"('164.93.34.78', 80, '46.224.123.208', 43834)",,
"('149.198.149.188', 80, '194.152.50.45', 37663)",,
