Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length
26639,2001:3b46:3e01:548c::62,2001:343d:b5:b4::65,-,-,0,0,58,48+64
27281,2001:3a50:a8ff:ff23::1636,2001:32af:ea15:0:6800::780d,-,-,0,0,58,48+64
27305,2001:3316:ffff:16:3786:f6ff:424a:830d,2001:2221:0:85:9bb2:99ff:9379:59e0,53,32769,0,0,17,60+43
27319,2001:3c52::3b,2001:385a:498f:79::f4,53,32816,0,0,17,60+114
27320,2001:3c52::3b,2001:385a:498f:79::f4,53,32816,0,0,17,60+114
27536,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
27658,2001:3269:3d:0:8883::ed2e,2001:3951:7400:3100::51de:95,-,-,0,0,58,44+112
27739,2001:3c14:59c5:d730::33,2001:3c00:59b4::98,53,65533,0,0,17,60+376
27883,2001:3269:3d:0:8883::ed2e,2001:54e5:0:8f0f::d0,-,-,0,0,58,44+113
28061,2001:3801:6c00:7:5cb6:3eff:f414:cc0e,2001:3c00:5979::21:16,51127,53,0,0,17,60+63
28074,2001:3c00:5979::21:16,2001:3801:6c00:7:5cb6:3eff:f414:cc0e,53,51127,0,0,17,60+111
28179,2001:3951:7400:ead3::e5,2001:3c00:5846:1a2a::f00:d488,32782,6667,0,0,6,72+32
28582,2001:3a50:a8ff:ff23::42ee,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
28644,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20
28669,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20
28684,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20
28938,2001:3c52::3b,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+112
29003,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
29396,2001:3da6:6072:0:c4f7:50ff:1f16:5d73,2001:326c::e5,53,53,0,0,17,60+64
29459,2001:3269:3d:0:8883::ed2e,2001:390a:30c1::fa,-,-,0,0,58,44+113
29525,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:22df::63:1a,40697,53,0,0,17,60+39
29784,2001:3996:8800:271e::6c,2001:3c00:5846:bd74:f381:68ff:8990:3b19,-,-,0,0,58,48+64
29796,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:3996:8800:271e::6c,-,-,0,0,58,48+64
30108,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3b65:3b00:7e::5e,61140,53,0,0,17,60+63
30574,2001:3269:3d:0:8883::ed2e,2001:23b9:0:48:cf:c57a:e40d:bf,-,-,0,0,58,44+110
30587,2001:3376:cff:ffff::c6,2001:390a:2002:1a00:1e::,-,-,0,0,41,40+60
30619,2001:3269:3d:0:8883::ed2e,2001:2a12:806f::d7,-,-,0,0,58,44+113
