Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,UDP_Length
28644,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
28669,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
28684,2001:3abf:22df::63:1a,2001:3c00:59d4:7a::49,53,61870,0,0,17,60+20,20
28938,2001:3c52::3b,2001:385a:498f:78:7c00::a6,53,37582,0,0,17,60+112,112
29396,2001:3da6:6072:0:c4f7:50ff:1f16:5d73,2001:326c::e5,53,53,0,0,17,60+64,64
29525,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:22df::63:1a,40697,53,0,0,17,60+39,39
30108,3ffe:9d3c:de29:2e82:ec53:96ff:7344:8d,2001:3b65:3b00:7e::5e,61140,53,0,0,17,60+63,63
32932,2001:3c14:6711:a4::e7,2001:3c00:5846:1a2a::300:53,53,53,0,0,17,60+57,57
34144,2001:3dc0:0:d7a9:0:89:0:eb,2001:3c00:5846:1a2a::300:53,4053,53,0,0,17,60+46,46
35553,2001:3cc1:83::d6,2001:3abf:f5a5::a3:2f,32817,53,0,0,17,60+40,40
36582,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:f5a5::a3:2f,40697,53,0,0,17,60+46,46
36934,2001:3cc1:f7:0:aaa6:4ff:e0aa:8df3,2001:3abf:f5a5::a3:2f,40697,53,0,0,17,60+40,40
37595,2001:38af:38:1b::cc,2001:3c00:5846:1a2a::300:53,6891,53,334819,0,17,60+53,53
37745,2001:3c00:5846:1a2a::300:53,2001:38af:38:1b::cc,53,6891,0,0,17,60+116,116
38443,2001:3c14:59c5:d656::85,2001:3c00:59b4::98,53,65533,0,0,17,60+376,376
39541,2001:3c00:5846:997:a24c:3ff:1653:56e8,2001:3abf:22df::63:1a,37046,53,0,0,17,60+40,40
39623,2001:2037:95:daeb:c99e:eff:12cc:c57d,2001:326c::e5,32771,53,0,0,17,60+64,64
40375,2001:3c00:5846:997:a24c:3ff:1653:56e8,2001:3abf:22df::63:1a,37046,53,0,0,17,60+37,37
40626,2001:3c00:5846:1a2a::300:53,2001:3b46:3e00:ffff::23b8,53,49152,0,0,17,60+111,111
42483,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+51,51
42554,2001:3abf:22df::63:1a,2001:3c00:5846:997:a24c:3ff:1653:56e8,53,37046,0,0,17,60+124,124
42628,2001:2221:0:85:9bb2:99ff:9379:59e0,2001:3c21:f800:83::f5,32769,53,0,0,17,60+50,50
