Packet Number,Source IP,Destination IP,Source Port,Destination Port,Flow Label,Traffic Class,Next Header,Packet Length,TCP-Reserved,TCP-CWR,TCP-ECE,TCP-Timestamp_Value
43139,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+32,0,False,False,"476626544, 202757066"
43140,2001:3c00:5846:bd74:f381:68ff:8990:3b19,2001:34eb:ff:f112::39f:2c,80,4644,955572,0,6,72+32,0,False,False,"476626544, 202757066"
43639,2001:3c00:5846:1a2a::f00:d488,2001:28d3:ff92::90,6667,32988,255126,0,6,72+32,0,False,False,"2115506004, 11448529"
43641,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32,0,False,False,"2115506004, 1251885587"
43769,2001:3c00:5846:1a2a::f00:d488,2002:d26e:5777::bd,6667,63276,255463,0,6,60+20,0,False,False,-
43805,2002:d3b2:d42f::9,2001:3c00:5846:1a2a::f00:d488,58360,6667,0,0,6,72+60,0,False,False,"2051301098, 2115505956"
44185,2001:3daa:4d00::298c,2001:3c00:5846:1a2a::f00:d488,43954,6667,0,0,6,80+40,0,False,False,"266682435, 0"
45212,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,72+32,0,False,False,"1251885775, 2115505984"
45294,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,72+68,0,False,False,"1251885778, 2115505984"
45316,2001:2b01:ffb9:6491:a6c8:e228:ef:92,2001:3c00:5846:1a2a::f00:d488,113,1600,0,0,6,72+32,0,False,False,"1251885778, 2115505984"
45428,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+32,0,False,False,"2115506014, 1251885778"
45440,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+125,0,False,False,"2115506014, 1251885587"
45441,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,6667,48063,256871,0,6,72+32,0,False,False,"2115506014, 1251885587"
45445,2001:3c00:5846:1a2a::f00:d488,2002:d26e:5777::bd,6667,63276,255463,0,6,60+96,0,False,False,-
45448,2001:3c00:5846:1a2a::f00:d488,2001:2b01:ffb9:6491:a6c8:e228:ef:92,1600,113,0,0,6,72+32,0,False,False,"2115506014, 1251885778"
