Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,UDP_Length
63506,201.196.236.249,51.148.6.33,53,32768,20,0,0,17,142,122
63532,145.120.130.76,222.146.47.12,32794,53,20,0,0,17,78,58
63535,201.196.236.249,202.251.40.166,53,53,20,0,0,17,115,95
63540,193.108.40.195,193.20.180.152,1029,53,20,0,0,17,61,41
63543,201.196.236.252,197.194.132.98,53,12966,20,0,0,17,113,93
63544,214.204.140.41,193.20.182.96,4714,53,20,0,0,17,84,64
63547,214.204.140.41,193.20.182.96,4714,53,20,0,0,17,28,8
63551,189.50.44.68,201.196.236.252,50384,53,20,0,0,17,75,55
63552,189.50.44.68,201.196.236.252,50384,53,20,0,0,17,75,55
63568,201.54.163.7,145.120.188.51,8089,8089,20,0,0,17,308,288
63574,46.32.155.66,193.20.182.105,41295,53,20,0,0,17,73,53
63580,201.196.236.252,189.50.44.68,53,50384,20,0,0,17,324,304
63591,201.196.236.252,189.50.44.68,53,50384,20,0,0,17,122,102
63617,222.151.83.46,193.20.182.96,60822,53,20,0,0,17,74,54
63675,110.244.218.152,161.32.96.78,53,57400,20,0,0,17,127,107
63680,209.19.254.208,193.20.182.96,17495,53,20,0,0,17,69,49
63699,44.208.182.57,193.20.182.105,23908,53,20,0,0,17,83,63
63720,46.0.112.3,193.20.182.105,1447,53,20,0,0,17,85,65
63726,163.192.1.60,193.20.180.152,55129,53,20,0,0,17,62,42
63729,163.192.1.60,193.20.180.152,55129,53,20,0,0,17,62,42
63760,193.188.202.41,193.197.12.186,53,1025,20,0,0,17,65,45
63768,44.45.68.211,193.20.180.152,49416,53,20,0,0,17,63,43
63774,182.56.101.174,213.107.61.90,1036,16478,20,0,0,17,64,44
63779,160.33.219.27,193.20.182.105,32794,53,20,0,0,17,83,63
63792,205.221.137.196,164.66.89.92,123,32872,20,0,0,17,76,56
63816,164.66.89.92,205.221.137.196,32872,123,20,0,0,17,76,56
63818,193.97.215.82,193.20.180.152,32838,53,20,0,0,17,63,43
63835,164.66.92.163,44.210.211.5,32919,123,20,0,0,17,76,56
63850,208.27.40.89,193.20.182.105,44949,53,20,0,0,17,72,52
63851,222.35.138.110,193.20.182.105,31192,53,20,0,0,17,72,52
63861,213.166.65.59,182.77.145.128,1165,1434,20,0,0,17,404,384
63864,213.24.134.29,201.41.82.25,33000,53,20,0,0,17,64,44
63886,202.166.51.210,145.120.188.51,8367,57195,20,0,0,17,1028,1008
63892,164.66.234.207,201.49.104.22,61609,53,20,0,0,17,54,34
63893,49.185.46.40,193.20.182.96,18168,53,20,0,0,17,73,53
63911,202.194.38.247,193.20.182.96,2149,53,20,0,0,17,84,64
63913,203.206.15.106,193.20.182.96,11555,53,20,0,0,17,72,52
63920,209.19.254.208,193.20.182.96,60192,53,20,0,0,17,71,51
63956,49.171.220.90,193.20.182.96,53,53,20,0,0,17,70,50
63961,223.10.198.115,193.20.182.105,14819,53,20,0,0,17,74,54
63966,161.33.224.48,55.173.56.219,13708,43677,20,0,0,17,134,114
63967,202.166.51.210,145.120.188.51,8367,57195,20,0,0,17,1028,1008
63971,223.10.198.115,193.20.182.96,21532,53,20,0,0,17,72,52
63983,193.20.177.176,192.168.0.230,53,1117,20,0,0,17,519,499
63985,193.20.177.176,10.226.1.26,53,53,20,0,0,17,465,445
63986,193.20.177.176,156.146.15.125,53,1051,20,0,0,17,519,499
64001,46.187.206.39,164.66.46.120,53,15063,20,0,0,17,126,106
64007,145.120.188.50,104.173.234.244,37856,22173,20,0,0,17,65,45
64016,51.176.248.36,193.20.180.152,32820,53,20,0,0,17,60,40
64018,51.176.248.36,193.20.180.152,32820,53,20,0,0,17,60,40
64019,51.176.248.36,193.20.180.152,32820,53,20,0,0,17,64,44
64020,51.176.248.36,193.20.180.152,32820,53,20,0,0,17,64,44
64023,220.199.82.116,201.196.236.249,33696,53,20,0,0,17,65,45
64027,193.20.177.176,10.205.32.99,53,1051,20,0,0,17,557,537
64028,193.20.177.176,10.205.32.99,53,1051,20,0,0,17,571,551
64029,222.35.138.110,193.20.182.105,42528,53,20,0,0,17,72,52
64031,164.93.32.206,212.102.197.227,1024,53,20,0,0,17,74,54
64033,164.93.32.206,212.102.197.227,1024,53,20,0,0,17,74,54
64035,162.172.144.134,193.20.182.96,51355,53,20,0,0,17,82,62
