Packet Number,Source IP,Destination IP,Source Port,Destination Port,IHL(byte),DSCP,ECN,Protocol,Packet Length,ICMP_Type
22802,192.114.232.205,220.91.172.117,-,-,20,0,0,1,84,0
23464,11.43.100.89,192.114.235.164,-,-,20,0,0,1,64,8
23484,192.114.235.164,11.43.100.89,-,-,20,0,0,1,64,0
23488,35.176.68.51,192.114.232.31,-,-,20,0,0,1,84,8
23498,145.120.171.131,218.24.73.220,-,-,20,0,0,1,56,3
23513,192.114.232.31,35.176.68.51,-,-,20,0,0,1,84,0
23648,150.4.85.128,164.66.46.64,-,-,20,0,0,1,56,3
24128,164.66.223.82,214.145.73.52,-,-,20,0,0,1,212,8
24133,164.66.223.82,198.152.34.116,-,-,20,0,0,1,212,8
24179,208.58.230.127,193.20.180.129,-,-,20,0,0,1,84,8
24259,182.0.122.62,192.17.251.249,-,-,20,0,0,1,84,0
24603,145.120.171.131,88.166.250.2,-,-,20,0,0,1,56,3
24628,164.93.164.63,92.11.240.145,-,-,20,0,0,1,64,0
24820,193.244.23.205,192.56.203.143,-,-,20,0,0,1,56,3
24835,192.114.227.236,193.243.130.219,-,-,20,0,0,1,1500,0
24938,220.168.70.185,192.114.201.6,-,-,20,0,0,1,92,8
25025,192.114.236.69,53.130.232.33,-,-,20,0,0,1,84,8
25162,164.143.133.25,104.165.119.1,-,-,20,0,0,1,60,8
25282,202.218.88.122,192.114.235.164,-,-,20,0,0,1,64,8
25303,192.114.235.164,202.218.88.122,-,-,20,0,0,1,64,0
25366,192.114.236.69,44.136.240.183,-,-,20,0,0,1,84,8
25416,212.198.172.96,192.114.227.236,-,-,20,0,0,1,1492,8
25431,192.114.227.236,212.198.172.96,-,-,20,0,0,1,1492,0
25478,196.93.191.198,192.114.235.164,-,-,20,0,0,1,84,8
25484,192.114.236.69,146.199.181.46,-,-,20,0,0,1,84,8
25499,192.114.235.164,196.93.191.198,-,-,20,0,0,1,84,0
25575,182.77.34.138,209.141.196.241,-,-,20,0,0,1,56,3
25623,164.93.164.57,92.11.240.145,-,-,20,0,0,1,64,0
26036,164.191.23.54,46.158.196.1,-,-,20,0,0,1,56,11
26093,182.77.51.91,209.83.131.71,-,-,20,0,0,1,56,3
26117,214.145.73.52,164.66.223.82,-,-,20,0,0,1,212,0
26183,164.191.23.54,33.213.36.74,-,-,20,0,0,1,56,11
26199,197.196.43.141,193.188.222.152,-,-,20,0,0,1,56,8
